time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
2019-01-01,83.75,-38.75,-0.003817784926484,-1.18,3.236,0.002391237756659,0.737
2019-01-01,83.75,-37.75,-0.0014890835940687,-0.71,2.096,0.0021594893046722,1.03
2019-01-01,83.75,-37.25,-0.0042518138391497,-0.42,10.133,0.0155617639238178,1.536
2019-01-01,83.75,-36.75,-0.022757037273094,-1.016,22.399,0.017399806031294,0.775
2019-01-01,83.75,-35.25,-0.0352837180127616,-1.336,26.416,0.0210954930840836,0.796
2019-01-01,83.75,-34.25,-0.0024860811841608,-2.164,1.149,0.0010070501944592,0.87
2019-01-01,83.25,-77.25,-0.0006910727852961,-0.427,1.619,0.0010650339162964,0.657
2019-01-01,83.25,-76.75,-0.0428301294351205,-0.391,109.622,0.0632969961152184,0.577
2019-01-01,83.25,-74.75,-0.000338849881315,-0.624,0.543,0.0002409811029288,0.443
2019-01-01,83.25,-74.25,-0.0283372111760004,-0.793,35.74,0.0221104025355163,0.617
2019-01-01,83.25,-73.75,-0.0023686295237939,-0.952,2.487,0.001585330642572,0.636
2019-01-01,83.25,-73.25,-0.00044703206062,-0.352,1.271,0.0006171822879655,0.485
2019-01-01,83.25,-72.75,-0.0301643613622268,-0.478,63.04,0.030590141673331,0.485
2019-01-01,83.25,-72.25,-0.0222146096564312,-0.425,52.23,0.020734723540612,0.396
2019-01-01,83.25,-71.75,-0.0092761499480979,-0.433,21.445,0.0099999097773455,0.466
2019-01-01,83.25,-71.25,-0.0001305491979624,-0.094,1.392,0.0044681954154339,3.21
2019-01-01,83.25,-70.75,-0.0406889517465644,-0.581,69.976,0.0371083696178204,0.53
2019-01-01,83.25,-70.25,-0.0268964501610513,-0.638,42.176,0.0220462623167057,0.522
2019-01-01,83.25,-69.75,-0.0148596278065867,-0.814,18.25,0.010780941846114,0.589
2019-01-01,83.25,-45.75,-0.0078463150567131,-1.297,6.049,0.0043667657459416,0.719
2019-01-01,83.25,-45.25,-0.0493837697377746,-0.981,50.324,0.0522574114888013,1.037
2019-01-01,83.25,-44.75,-0.0163916525183415,-1.552,10.562,0.0092996058962026,0.877
2019-01-01,83.25,-44.25,-0.0131192976035048,-1.315,9.978,0.0074812643719335,0.747
2019-01-01,83.25,-43.75,-0.0309189021823686,-1.081,28.595,0.0194127776634724,0.677
2019-01-01,83.25,-43.25,-0.0298067631346201,-1.073,27.784,0.0146112367130018,0.523
2019-01-01,83.25,-41.25,-0.0130143872093861,-1.449,8.983,0.0053829405764793,0.595
2019-01-01,83.25,-40.75,-0.000379089884405,-0.965,0.393,0.0006516421676207,1.657
2019-01-01,83.25,-40.25,-0.0168412871001632,-0.781,21.568,0.0173438647680677,0.803
2019-01-01,83.25,-39.25,-0.1172816164675268,-1.206,97.258,0.0628911741567804,0.644
2019-01-01,83.25,-38.75,-0.1254660599252657,-1.549,81.024,0.050488459554328,0.618
2019-01-01,83.25,-38.25,-0.2065369491336624,-1.158,178.336,0.0869810212269169,0.484
2019-01-01,83.25,-37.75,-0.095144123644175,-1.186,80.19,0.0421971570928968,0.523
2019-01-01,83.25,-37.25,-0.4698436265577201,-1.863,252.219,0.2159568374885354,0.851
2019-01-01,83.25,-36.75,-0.1135593153007229,-1.225,92.674,0.0582021202129022,0.625
2019-01-01,83.25,-36.25,-0.3102834539227919,-1.922,161.474,0.1686106210328316,1.04
2019-01-01,83.25,-35.75,-0.3452532186393689,-2.246,153.721,0.1652617931550402,1.069
2019-01-01,83.25,-35.25,-0.0253810631333339,-0.514,49.381,0.0878201873997341,1.778
2019-01-01,83.25,-34.75,-0.2048279363681142,-1.856,110.35,0.0833874894024727,0.75
2019-01-01,83.25,-34.25,-0.2619814538228461,-1.641,159.681,0.1467680822499701,0.915
2019-01-01,83.25,-33.75,-0.0974499330900161,-1.306,74.591,0.0503046251917022,0.671
2019-01-01,83.25,-33.25,-0.1399109907326473,-1.496,93.553,0.0703228741149228,0.748
2019-01-01,83.25,-32.25,-0.0414839586058018,-1.706,24.317,0.0080067314778939,0.318
2019-01-01,83.25,-31.75,-0.2776393247977005,-1.648,168.426,0.1408580553485853,0.832
2019-01-01,83.25,-31.25,-0.0371527361297289,-1.353,27.457,0.0138942306476485,0.501
2019-01-01,83.25,-30.75,-0.1935412068665142,-1.702,113.715,0.0897473238464111,0.785
2019-01-01,83.25,-30.25,-0.1889297544672248,-1.428,132.342,0.0692165398462019,0.518
2019-01-01,83.25,-29.75,-0.0543119430541967,-1.507,36.035,0.0160822623894645,0.44
2019-01-01,83.25,-29.25,-0.0424567118334563,-1.343,31.61,0.0174005126398224,0.546
2019-01-01,83.25,-28.75,-0.2348840310322969,-1.615,145.436,0.1296143417880239,0.888
2019-01-01,83.25,-28.25,-0.0867854977658914,-1.552,55.905,0.0612878216633432,1.094
2019-01-01,83.25,-27.75,-0.0743464844819209,-1.121,66.339,0.0425259848330202,0.639
2019-01-01,83.25,-27.25,-0.131141199849859,-1.909,68.698,0.0559202438582847,0.808
2019-01-01,83.25,-26.75,-0.010228188642833,-0.895,11.432,0.0064278745220161,0.56
2019-01-01,82.75,-82.25,-0.0438032792477429,-0.624,70.176,0.0297068357357717,0.422
2019-01-01,82.75,-81.75,-0.0460264568951311,-0.785,58.607,0.0130914107143522,0.22
2019-01-01,82.75,-81.25,-0.0531289238735865,-0.506,104.937,0.0335514000468348,0.319
2019-01-01,82.75,-80.75,-0.0230031902508635,-0.674,34.116,0.0088928891418759,0.258
2019-01-01,82.75,-80.25,-0.0566611943767819,-0.669,84.753,0.0129735288198422,0.149
2019-01-01,82.75,-79.75,-0.0854793587390133,-0.649,131.763,0.0256896713071054,0.192
2019-01-01,82.75,-79.25,-0.02690589897349,-0.584,46.038,0.0073738721576368,0.157
2019-01-01,82.75,-78.75,-0.0208534504433999,-0.721,28.928,0.0067680391855682,0.231
2019-01-01,82.75,-78.25,-0.0040042439549117,-0.761,5.261,0.0010955477553546,0.205
2019-01-01,82.75,-77.75,-0.0224148815879901,-0.635,35.314,0.0060338776381788,0.168
2019-01-01,82.75,-77.25,-0.038867749560106,-0.527,73.754,0.0140933158823163,0.189
2019-01-01,82.75,-76.75,-0.0282874324501477,-0.441,64.122,0.0172517029477674,0.268
2019-01-01,82.75,-76.25,-0.0507013542047884,-0.634,79.93,0.0133623348576388,0.164
2019-01-01,82.75,-75.75,-0.0111452318315327,-0.695,16.037,0.0038508772256465,0.238
2019-01-01,82.75,-75.25,-0.0355584252314049,-0.597,59.57,0.017819034332509,0.298
