time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
2010-01-01,83.75,-38.75,-0.0029750206856651,-0.846,3.516,0.0027365963290709,0.777
2010-01-01,83.75,-37.75,-0.0012958447385741,-0.569,2.278,0.0025045968440541,1.099
2010-01-01,83.75,-37.25,-0.005735118262971,-0.521,11.011,0.0173330780236494,1.574
2010-01-01,83.75,-36.75,-0.0207527685145992,-0.853,24.338,0.0207122078658383,0.85
2010-01-01,83.75,-35.25,-0.0345137979355059,-1.202,28.703,0.0250410123539243,0.87
2010-01-01,83.75,-34.25,-0.0024173541965779,-1.935,1.249,0.001177497433106,0.938
2010-01-01,83.25,-77.25,-5.024638595976815e-05,-0.031,1.63,0.0010717085586817,0.657
2010-01-01,83.25,-76.75,-0.0062812627205019,-0.057,110.322,0.0636654905548808,0.577
2010-01-01,83.25,-74.75,-0.0001706076147087,-0.312,0.546,0.000238203454121,0.436
2010-01-01,83.25,-74.25,-0.0165753659349568,-0.461,35.968,0.0222211805223183,0.617
2010-01-01,83.25,-73.75,-0.00155662930832,-0.622,2.503,0.0015929739467125,0.636
2010-01-01,83.25,-73.25,0.0001150410563671,0.09,1.279,0.000620686225925,0.485
2010-01-01,83.25,-72.75,-0.0106277024555445,-0.168,63.443,0.030748485840159,0.485
2010-01-01,83.25,-72.25,-0.0060083459158832,-0.114,52.563,0.0208391249908087,0.396
2010-01-01,83.25,-71.75,-0.0022758006384023,-0.105,21.582,0.0100527726862325,0.466
2010-01-01,83.25,-71.25,0.0008970943253446,0.64,1.401,0.0044966792442964,3.209
2010-01-01,83.25,-70.75,-0.0188100665155471,-0.267,70.423,0.0372995128269826,0.529
2010-01-01,83.25,-70.25,-0.013460289558617,-0.317,42.445,0.0221557471151941,0.522
2010-01-01,83.25,-69.75,-0.0093763578152719,-0.511,18.367,0.0108344093835674,0.589
2010-01-01,83.25,-45.75,-0.0063703165735005,-0.969,6.573,0.0050345350061099,0.764
2010-01-01,83.25,-45.25,-0.0325277983426117,-0.595,54.681,0.0585852369024867,1.071
2010-01-01,83.25,-44.75,-0.014651669997848,-1.277,11.477,0.0107423536013566,0.934
2010-01-01,83.25,-44.25,-0.0118922919371268,-1.097,10.842,0.0089595954848441,0.825
2010-01-01,83.25,-43.75,-0.0278528624113196,-0.896,31.07,0.0230947960579169,0.742
2010-01-01,83.25,-43.25,-0.0259331847478661,-0.859,30.189,0.0170245852581404,0.562
2010-01-01,83.25,-41.25,-0.0106906835677948,-1.095,9.76,0.0061965494639189,0.633
2010-01-01,83.25,-40.75,-0.0002373170463591,-0.556,0.427,0.0007251557542546,1.698
2010-01-01,83.25,-40.25,-0.0160877451653256,-0.686,23.436,0.0195658717308778,0.834
2010-01-01,83.25,-39.25,-0.1122936885675914,-1.063,105.678,0.0709250931963623,0.669
2010-01-01,83.25,-38.75,-0.1191989066530573,-1.354,88.039,0.0581250483842601,0.657
2010-01-01,83.25,-38.25,-0.1856941970081351,-0.958,193.776,0.1034908167723163,0.532
2010-01-01,83.25,-37.75,-0.0891858838951488,-1.024,87.132,0.0486988326725796,0.557
2010-01-01,83.25,-37.25,-0.4585873877692737,-1.673,274.056,0.2498838709047758,0.908
2010-01-01,83.25,-36.75,-0.1066297778090615,-1.059,100.697,0.0692594140415226,0.686
2010-01-01,83.25,-36.25,-0.3338947035775199,-1.903,175.454,0.1874159928681878,1.064
2010-01-01,83.25,-35.75,-0.3423050817942129,-2.049,167.03,0.1895007673103085,1.13
2010-01-01,83.25,-35.25,-0.0223759370187599,-0.417,53.657,0.0980899201679739,1.828
2010-01-01,83.25,-34.75,-0.2046561745155789,-1.707,119.904,0.0981594949648103,0.814
2010-01-01,83.25,-34.25,-0.2630476815620542,-1.516,173.506,0.1687774205819296,0.97
2010-01-01,83.25,-33.75,-0.0928351849029268,-1.145,81.049,0.0602891346262032,0.742
2010-01-01,83.25,-33.25,-0.136565019420281,-1.343,101.652,0.0834429717160497,0.818
2010-01-01,83.25,-32.25,-0.0405024016738062,-1.533,26.423,0.0093088903103593,0.344
2010-01-01,83.25,-31.75,-0.2740459560894665,-1.497,183.008,0.166137952372756,0.905
2010-01-01,83.25,-31.25,-0.0351100823234666,-1.177,29.834,0.0162698092604027,0.542
2010-01-01,83.25,-30.75,-0.1837627020546176,-1.487,123.561,0.1056932681661307,0.852
2010-01-01,83.25,-30.25,-0.1808935528822041,-1.258,143.8,0.0817737308793806,0.565
2010-01-01,83.25,-29.75,-0.0521115679831185,-1.331,39.155,0.0190511653827321,0.482
2010-01-01,83.25,-29.25,-0.0402101856863902,-1.171,34.346,0.0205986595730427,0.597
2010-01-01,83.25,-28.75,-0.2268476301112736,-1.435,158.028,0.1522379290586996,0.961
2010-01-01,83.25,-28.25,-0.0770303276636908,-1.268,60.745,0.0728734708683903,1.198
2010-01-01,83.25,-27.75,-0.0633414808378432,-0.879,72.082,0.0509641615500317,0.706
2010-01-01,83.25,-27.25,-0.1240990264845334,-1.663,74.646,0.0650890461982634,0.868
2010-01-01,83.25,-26.75,-0.0091544685910825,-0.737,12.422,0.0075285087978879,0.605
2010-01-01,82.75,-82.25,-0.0195332542534313,-0.277,70.624,0.0298311127249777,0.422
2010-01-01,82.75,-81.75,-0.0275256584918604,-0.467,58.981,0.0130426092504388,0.22
2010-01-01,82.75,-81.25,-0.016486581166435,-0.156,105.607,0.0336697104756598,0.319
2010-01-01,82.75,-80.75,-0.0112721976574141,-0.328,34.334,0.0088924246708324,0.258
2010-01-01,82.75,-80.25,-0.0290278469605364,-0.34,85.294,0.0128236340033871,0.149
2010-01-01,82.75,-79.75,-0.0402698377620832,-0.304,132.604,0.0255727222907882,0.192
2010-01-01,82.75,-79.25,-0.0109291269250516,-0.236,46.332,0.0073168492483442,0.157
2010-01-01,82.75,-78.75,-0.0109865020189837,-0.377,29.113,0.0067523885166072,0.231
2010-01-01,82.75,-78.25,-0.0021539770921035,-0.407,5.295,0.0010893955268587,0.205
2010-01-01,82.75,-77.75,-0.0091235429977673,-0.257,35.539,0.0059840677441632,0.168
2010-01-01,82.75,-77.25,-0.0141587566371255,-0.191,74.225,0.0140656501574334,0.189
2010-01-01,82.75,-76.75,-0.0095997743940275,-0.149,64.531,0.0173099519916039,0.268
2010-01-01,82.75,-76.25,-0.0235231729656143,-0.292,80.44,0.013255651517352,0.164
2010-01-01,82.75,-75.75,-0.0058182259136995,-0.361,16.139,0.0038455972442945,0.238
2010-01-01,82.75,-75.25,-0.017259593360349,-0.288,59.95,0.0178640729970283,0.298
2010-01-01,82.75,-74.75,-0.0119950007664566,-0.443,27.102,0.005259226636746,0.193
2010-01-01,82.75,-74.25,-0.0729889856066421,-0.283,257.605,0.0886728732559899,0.344
2010-01-01,82.75,-73.75,-0.0289361646705436,-0.342,84.633,0.0221497978109813,0.261
2010-01-01,82.75,-73.25,-0.010603704221475,-0.432,24.571,0.0035509706513765,0.143
2010-01-01,82.75,-72.75,-0.0218964576421043,-0.454,48.21,0.0073599860923149,0.151
2010-01-01,82.75,-72.25,-0.0079942391475505,-0.269,29.702,0.0054584683343417,0.183
2010-01-01,82.75,-71.75,-0.0132296086197207,-0.147,89.755,0.0330850496606314,0.369
2010-01-01,82.75,-71.25,-0.0073982143039646,-0.204,36.223,0.0128509253162876,0.355
2010-01-01,82.75,-70.75,-0.1123526805569955,-0.243,462.935,0.1687586080686719,0.364
2010-01-01,82.75,-70.25,-0.0570606334764289,-0.374,152.683,0.0525682687649984,0.344
2010-01-01,82.75,-69.75,-0.0097284991657716,-0.335,29.071,0.0091113462416197,0.313
2010-01-01,82.75,-69.25,-0.0109464989715186,-0.409,26.776,0.0082482024877136,0.307
2010-01-01,82.75,-68.75,-0.0004163437819395,-0.665,0.626,0.000382492076074,0.61
2010-01-01,82.75,-68.25,-0.000994830170271,-0.404,2.463,0.0008111489550494,0.329
2010-01-01,82.75,-67.75,-0.0062992942440131,-0.592,10.635,0.0030514010195463,0.285
2010-01-01,82.75,-67.25,-0.0075853511250673,-0.554,13.683,0.0041394034846475,0.301
2010-01-01,82.75,-66.75,-0.0270251224145112,-0.475,56.937,0.0162627986299439,0.285
2010-01-01,82.75,-66.25,-0.0138692350838753,-0.388,35.773,0.0095247364382083,0.266
2010-01-01,82.75,-65.75,-0.0081858210996169,-0.509,16.085,0.0041311179297638,0.256
