time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
2000-01-01,83.75,-38.75,0.0006953947864922,0.182,3.827,0.0034196609724659,0.894
2000-01-01,83.75,-37.75,0.0003728875157001,0.15,2.479,0.0032130499527246,1.296
2000-01-01,83.75,-37.25,-0.0018730938165123,-0.156,11.985,0.0202459810639074,1.689
2000-01-01,83.75,-36.75,-0.0020693734482284,-0.078,26.492,0.0279603441134221,1.055
2000-01-01,83.75,-35.25,-0.0141872724363541,-0.454,31.244,0.0336284668412721,1.076
2000-01-01,83.75,-34.25,-0.0015260985751877,-1.123,1.359,0.00153545349074,1.128
2000-01-01,83.25,-77.25,-0.0001452849328998,-0.089,1.641,0.0010789624371305,0.657
2000-01-01,83.25,-76.75,-0.0187883699019636,-0.169,111.1,0.0641205668204845,0.577
2000-01-01,83.25,-74.75,-0.0002147695580447,-0.39,0.55,0.000241150361798,0.438
2000-01-01,83.25,-74.25,-0.0207340460295626,-0.572,36.222,0.0223865505097205,0.617
2000-01-01,83.25,-73.75,-0.0017315824540665,-0.687,2.521,0.0016048505065144,0.636
2000-01-01,83.25,-73.25,0.0001036739264347,0.08,1.288,0.000625048492442,0.485
2000-01-01,83.25,-72.75,-0.0190261473139949,-0.298,63.89,0.0309764396579621,0.485
2000-01-01,83.25,-72.25,-0.0133030777472808,-0.251,52.934,0.0209945702384468,0.396
2000-01-01,83.25,-71.75,-0.0047464594858594,-0.218,21.734,0.010125959285021,0.466
2000-01-01,83.25,-71.25,0.0014390912394316,1.02,1.411,0.0045293110170095,3.21
2000-01-01,83.25,-70.75,-0.0272398783209024,-0.384,70.919,0.0375754515113416,0.529
2000-01-01,83.25,-70.25,-0.0184949321538867,-0.433,42.744,0.0223206996893324,0.522
2000-01-01,83.25,-69.75,-0.0119043832151772,-0.644,18.496,0.0109165244380707,0.589
2000-01-01,83.25,-45.75,0.0006382782611826,0.089,7.155,0.0063972587819443,0.894
2000-01-01,83.25,-45.25,0.0317202073667727,0.533,59.522,0.0696836248950833,1.17
2000-01-01,83.25,-44.75,-0.0028258617608739,-0.226,12.493,0.0136764536026895,1.095
2000-01-01,83.25,-44.25,-0.0024373928758754,-0.207,11.802,0.0122183522900047,1.035
2000-01-01,83.25,-43.75,-0.0032171272437875,-0.095,33.821,0.0311384253128878,0.921
2000-01-01,83.25,-43.25,0.0003871625739911,0.012,32.862,0.0220845947504157,0.672
2000-01-01,83.25,-41.25,-2.8670724534083346e-05,-0.003,10.624,0.0078631249653149,0.74
2000-01-01,83.25,-40.75,0.0002841703729302,0.611,0.465,0.0008457468825107,1.819
2000-01-01,83.25,-40.25,-2.41171387889692e-05,-0.001,25.51,0.0236001322159402,0.925
2000-01-01,83.25,-39.25,-0.0417276175111314,-0.363,115.035,0.0855556606410503,0.744
2000-01-01,83.25,-38.75,-0.0496533393930785,-0.518,95.833,0.073484114072661,0.766
2000-01-01,83.25,-38.25,-0.0369307614468844,-0.175,210.932,0.1397480579469663,0.662
2000-01-01,83.25,-37.75,-0.0237069691851516,-0.25,94.846,0.061902043569108,0.653
2000-01-01,83.25,-37.25,-0.2940464303520597,-0.986,298.319,0.3194050468665767,1.07
