time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
2011-01-01,83.75,-38.75,-0.0036585903677205,-1.05,3.485,0.0027146286222166,0.777
2011-01-01,83.75,-37.75,-0.0016969917090516,-0.752,2.257,0.0024821280547615,1.099
2011-01-01,83.75,-37.25,-0.0074794483155115,-0.685,10.913,0.0171805299027131,1.574
2011-01-01,83.75,-36.75,-0.0251026003309003,-1.041,24.122,0.0205409919266602,0.85
2011-01-01,83.75,-35.25,-0.0394806075240043,-1.388,28.449,0.0248389769293056,0.87
2011-01-01,83.75,-34.25,-0.0026289776389185,-2.125,1.237,0.0011674481770485,0.938
2011-01-01,83.25,-77.25,-0.001093542063607,-0.672,1.628,0.0010717862207538,0.657
2011-01-01,83.25,-76.75,-0.0764116025792928,-0.693,110.245,0.0637348958321175,0.577
2011-01-01,83.25,-74.75,-0.0005014538633875,-0.918,0.546,0.0002444058867155,0.445
2011-01-01,83.25,-74.25,-0.0393346703201521,-1.094,35.943,0.0222772714615403,0.617
2011-01-01,83.25,-73.75,-0.0031460817166681,-1.257,2.502,0.0015981960011575,0.636
2011-01-01,83.25,-73.25,-0.0007011523470319,-0.549,1.278,0.0006211643926979,0.485
2011-01-01,83.25,-72.75,-0.0506327905063925,-0.799,63.398,0.0308322470932773,0.485
2011-01-01,83.25,-72.25,-0.0391073548436096,-0.745,52.526,0.0209139022185514,0.396
2011-01-01,83.25,-71.75,-0.0158902098564891,-0.737,21.567,0.0100776668360897,0.466
2011-01-01,83.25,-71.25,-2.964858789083364e-05,-0.021,1.4,0.0044941117387017,3.21
2011-01-01,83.25,-70.75,-0.0631418521402791,-0.897,70.373,0.037396889738623,0.53
2011-01-01,83.25,-70.25,-0.0401565380689054,-0.947,42.415,0.0222208152177902,0.522
2011-01-01,83.25,-69.75,-0.0209003238350091,-1.139,18.354,0.0108669636344762,0.589
2011-01-01,83.25,-45.75,-0.0076514720389975,-1.174,6.515,0.004994786723715,0.764
2011-01-01,83.25,-45.25,-0.0436325835708954,-0.805,54.197,0.0580852839533401,1.071
2011-01-01,83.25,-44.75,-0.0168360610429325,-1.48,11.375,0.0106554005525118,0.934
2011-01-01,83.25,-44.25,-0.0138952965740219,-1.293,10.746,0.0088878815716669,0.825
2011-01-01,83.25,-43.75,-0.0334281304371218,-1.086,30.795,0.0229097795358967,0.742
2011-01-01,83.25,-43.25,-0.0314943986437338,-1.053,29.922,0.0168985327772545,0.562
2011-01-01,83.25,-41.25,-0.0126032211165547,-1.303,9.674,0.0061514163751713,0.633
2011-01-01,83.25,-40.75,-0.0003246538285956,-0.768,0.423,0.0007184499520781,1.698
2011-01-01,83.25,-40.25,-0.0202112831165125,-0.87,23.228,0.0194021605220573,0.834
2011-01-01,83.25,-39.25,-0.130706575002034,-1.248,104.743,0.0703810353431487,0.669
2011-01-01,83.25,-38.75,-0.1348464648668078,-1.545,87.26,0.057702347235624,0.657
2011-01-01,83.25,-38.25,-0.2202267655600411,-1.147,192.06,0.1027524210127211,0.532
2011-01-01,83.25,-37.75,-0.104663690158149,-1.212,86.361,0.0483491758177297,0.557
2011-01-01,83.25,-37.25,-0.5062274818354051,-1.864,271.63,0.2479223833291998,0.908
2011-01-01,83.25,-36.75,-0.1245473822390332,-1.248,99.806,0.0687256082922923,0.686
2011-01-01,83.25,-36.25,-0.3618118574599994,-2.081,173.9,0.1858999166178515,1.064
2011-01-01,83.25,-35.75,-0.375501366710386,-2.268,165.551,0.1879950369098874,1.13
2011-01-01,83.25,-35.25,-0.0318016615564295,-0.598,53.182,0.0972282508299604,1.828
2011-01-01,83.25,-34.75,-0.225267656917435,-1.896,118.842,0.0974133526124595,0.814
2011-01-01,83.25,-34.25,-0.2914571988266628,-1.695,171.97,0.1674100542977144,0.97
2011-01-01,83.25,-33.75,-0.1072076086228322,-1.335,80.331,0.059818330560515,0.742
2011-01-01,83.25,-33.25,-0.1542270693737744,-1.531,100.752,0.0827867365767064,0.818
2011-01-01,83.25,-32.25,-0.0451529384958509,-1.724,26.189,0.0092841576036428,0.344
2011-01-01,83.25,-31.75,-0.3054468630798545,-1.684,181.388,0.1648153653241039,0.905
2011-01-01,83.25,-31.25,-0.0403631388466912,-1.365,29.57,0.0161582215503965,0.542
2011-01-01,83.25,-30.75,-0.2057786602162077,-1.68,122.467,0.1048668313480664,0.852
2011-01-01,83.25,-30.25,-0.2060252778806015,-1.446,142.527,0.0812085317248797,0.565
2011-01-01,83.25,-29.75,-0.058974190916527,-1.52,38.808,0.0189358922897402,0.482
2011-01-01,83.25,-29.25,-0.0462439582165864,-1.358,34.042,0.0204499924068887,0.597
2011-01-01,83.25,-28.75,-0.2536375078196075,-1.619,156.629,0.1510042831882367,0.961
2011-01-01,83.25,-28.25,-0.088396768013095,-1.468,60.207,0.0722623865640024,1.198
2011-01-01,83.25,-27.75,-0.0767108451908945,-1.074,71.444,0.0505611378890657,0.706
2011-01-01,83.25,-27.25,-0.137513678221626,-1.859,73.985,0.0645858930363443,0.868
2011-01-01,83.25,-26.75,-0.0113857803106734,-0.925,12.312,0.0074697625854783,0.605
