time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
2016-01-01,83.75,-38.75,-0.0032918897695624,-0.989,3.329,0.0024453113387234,0.733
2016-01-01,83.75,-37.75,-0.0011307438043857,-0.524,2.157,0.0022077705140117,1.023
2016-01-01,83.75,-37.25,-0.0025123690214028,-0.241,10.426,0.0159746666535583,1.532
2016-01-01,83.75,-36.75,-0.0191197102931487,-0.83,23.045,0.017728668466761,0.768
2016-01-01,83.75,-35.25,-0.0312593549746253,-1.15,27.178,0.0214956376587921,0.789
2016-01-01,83.75,-34.25,-0.0023329917402026,-1.974,1.182,0.0010272148945487,0.863
2016-01-01,83.25,-77.25,-0.0004593019854524,-0.283,1.623,0.0010673502842538,0.657
2016-01-01,83.25,-76.75,-0.0274521599324146,-0.25,109.856,0.0634106539282537,0.577
2016-01-01,83.25,-74.75,-0.0002607663997795,-0.479,0.544,0.0002394236996862,0.439
2016-01-01,83.25,-74.25,-0.0234254123325912,-0.654,35.816,0.0221428787288023,0.617
2016-01-01,83.25,-73.75,-0.0020298727229958,-0.814,2.493,0.0015879615330543,0.636
2016-01-01,83.25,-73.25,-0.0002654080981111,-0.208,1.274,0.0006183756339928,0.485
2016-01-01,83.25,-72.75,-0.0215403024925143,-0.341,63.174,0.0306347184577543,0.485
2016-01-01,83.25,-72.25,-0.0150763354647898,-0.288,52.341,0.0207626431996116,0.396
2016-01-01,83.25,-71.75,-0.0063400911583521,-0.295,21.491,0.0100151910606144,0.466
2016-01-01,83.25,-71.25,8.013706316768579e-05,0.057,1.395,0.0044775213123082,3.21
2016-01-01,83.25,-70.75,-0.0312239522879833,-0.445,70.125,0.0371634935477514,0.529
2016-01-01,83.25,-70.25,-0.0211962206525363,-0.502,42.265,0.0220770788415178,0.522
2016-01-01,83.25,-69.75,-0.0124182365942995,-0.679,18.289,0.0107961634024251,0.589
2016-01-01,83.25,-45.75,-0.0068971344170729,-1.108,6.224,0.0044628316970028,0.715
2016-01-01,83.25,-45.25,-0.0409177215294239,-0.79,51.776,0.0535884275864568,1.034
2016-01-01,83.25,-44.75,-0.0148380240448889,-1.365,10.867,0.0095040473287665,0.872
2016-01-01,83.25,-44.25,-0.0115889106413229,-1.129,10.266,0.0076161967332999,0.74
2016-01-01,83.25,-43.75,-0.026333992336639,-0.895,29.42,0.0197753057337278,0.671
2016-01-01,83.25,-43.25,-0.0253341787944681,-0.886,28.586,0.0149063741957261,0.52
2016-01-01,83.25,-41.25,-0.011628117605165,-1.258,9.242,0.005496657247084,0.591
2016-01-01,83.25,-40.75,-0.000311951471153,-0.772,0.404,0.0006683037329296,1.654
2016-01-01,83.25,-40.25,-0.0132563470445004,-0.597,22.191,0.0177741065136481,0.8
2016-01-01,83.25,-39.25,-0.1020422568801328,-1.02,100.065,0.064398649536956,0.642
2016-01-01,83.25,-38.75,-0.1135028086683191,-1.362,83.362,0.0515620343240614,0.615
2016-01-01,83.25,-38.25,-0.1779541979819862,-0.97,183.482,0.0884938307892506,0.48
2016-01-01,83.25,-37.75,-0.0825068409796155,-1.0,82.504,0.0430797262247998,0.52
2016-01-01,83.25,-37.25,-0.4344512411667729,-1.674,259.498,0.2205216855551935,0.846
2016-01-01,83.25,-36.75,-0.0990198081225929,-1.039,95.348,0.0592539792736767,0.619
2016-01-01,83.25,-36.25,-0.2890796802561397,-1.74,166.134,0.1729820704385218,1.038
2016-01-01,83.25,-35.75,-0.3271569722137539,-2.069,158.157,0.1689835774926275,1.063
2016-01-01,83.25,-35.25,-0.0167169764358034,-0.329,50.806,0.0901088090084311,1.774
2016-01-01,83.25,-34.75,-0.1896083408474814,-1.67,113.535,0.0849922543148768,0.744
2016-01-01,83.25,-34.25,-0.2386973729052698,-1.453,164.289,0.1500383986340679,0.91
2016-01-01,83.25,-33.75,-0.0859652383180459,-1.12,76.744,0.0511772569128282,0.665
2016-01-01,83.25,-33.25,-0.1259916186873024,-1.309,96.253,0.0716189464287536,0.741
2016-01-01,83.25,-32.25,-0.0380023853386305,-1.519,25.019,0.0081212655432591,0.316
2016-01-01,83.25,-31.75,-0.2532472672522977,-1.461,173.286,0.1435170077515204,0.825
2016-01-01,83.25,-31.25,-0.0329052465457502,-1.165,28.249,0.0141547015511531,0.498
2016-01-01,83.25,-30.75,-0.1770350023312663,-1.513,116.997,0.0914505638680772,0.778
2016-01-01,83.25,-30.25,-0.168709230527178,-1.239,136.161,0.0704456446480337,0.514
2016-01-01,83.25,-29.75,-0.0489036034396346,-1.319,37.075,0.0163440440982256,0.436
2016-01-01,83.25,-29.25,-0.0375612924047529,-1.155,32.522,0.0177106581520055,0.542
2016-01-01,83.25,-28.75,-0.2132180640278702,-1.425,149.634,0.1321812349781175,0.88
2016-01-01,83.25,-28.25,-0.078280819267337,-1.361,57.518,0.0624282040229547,1.083
2016-01-01,83.25,-27.75,-0.0635042147397489,-0.93,68.253,0.0432649123859709,0.632
2016-01-01,83.25,-27.25,-0.1214903283405734,-1.719,70.681,0.0570633427716958,0.803
2016-01-01,83.25,-26.75,-0.0083101702535799,-0.707,11.762,0.0065550841096354,0.556
2016-01-01,82.75,-82.25,-0.0335397621540006,-0.477,70.325,0.0297362176020087,0.422
2016-01-01,82.75,-81.75,-0.0375409691245003,-0.639,58.732,0.0130507279519173,0.22
2016-01-01,82.75,-81.25,-0.0377911398957599,-0.359,105.16,0.0335703682467967,0.319
2016-01-01,82.75,-80.75,-0.018035036987377,-0.528,34.189,0.0088829556266443,0.258
2016-01-01,82.75,-80.25,-0.044390002795776,-0.523,84.933,0.0128799830845219,0.149
2016-01-01,82.75,-79.75,-0.0664289134762241,-0.503,132.043,0.0256018463606151,0.192
2016-01-01,82.75,-79.25,-0.020248914898989,-0.439,46.136,0.0073357508738152,0.157
