time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
2001-01-01,83.75,-38.75,0.0001999143105037,0.053,3.796,0.0033917999507281,0.894
2001-01-01,83.75,-37.75,5.464205769547726e-05,0.022,2.459,0.0031870743423938,1.296
2001-01-01,83.75,-37.25,-0.0033646938188594,-0.283,11.888,0.0200826110361724,1.689
2001-01-01,83.75,-36.75,-0.0054217966686232,-0.206,26.277,0.0277345625503206,1.055
2001-01-01,83.75,-35.25,-0.018044818933366,-0.582,30.99,0.0333598617686528,1.076
2001-01-01,83.75,-34.25,-0.0016868355144721,-1.251,1.348,0.0015234798517968,1.128
2001-01-01,83.25,-77.25,0.000282078632116,0.172,1.64,0.0010783727309484,0.657
2001-01-01,83.25,-76.75,0.0101222134582665,0.091,111.022,0.0640706715006008,0.577
2001-01-01,83.25,-74.75,-9.940864983226266e-05,-0.181,0.55,0.0002359213258856,0.429
2001-01-01,83.25,-74.25,-0.0113643928072562,-0.314,36.197,0.0223543217552192,0.617
2001-01-01,83.25,-73.75,-0.0010811855676988,-0.429,2.519,0.0016021543539818,0.636
2001-01-01,83.25,-73.25,0.0004345235332176,0.338,1.287,0.0006249195119963,0.485
2001-01-01,83.25,-72.75,-0.0025890370481269,-0.041,63.845,0.0309343716354005,0.485
2001-01-01,83.25,-72.25,0.0002976622582709,0.006,52.897,0.0209693686157355,0.396
2001-01-01,83.25,-71.75,0.0008310534901668,0.038,21.719,0.0101151441925573,0.466
2001-01-01,83.25,-71.25,0.0017967909206156,1.274,1.41,0.0045255743348743,3.209
2001-01-01,83.25,-70.75,-0.0090981608114118,-0.128,70.869,0.0375248800819321,0.529
2001-01-01,83.25,-70.25,-0.0075650328587905,-0.177,42.714,0.0222890463795154,0.522
2001-01-01,83.25,-69.75,-0.0071718737846327,-0.388,18.483,0.0108985249563116,0.589
2001-01-01,83.25,-45.75,-0.0002836908744007,-0.04,7.097,0.0063453380933647,0.894
2001-01-01,83.25,-45.25,0.0238253392465889,0.404,59.038,0.06910935964617,1.17
2001-01-01,83.25,-44.75,-0.0044037805496674,-0.355,12.391,0.0135658543671781,1.095
2001-01-01,83.25,-44.25,-0.0039219807221052,-0.335,11.706,0.0121199492680815,1.035
2001-01-01,83.25,-43.75,-0.0074982071892843,-0.224,33.546,0.0308870943005229,0.921
2001-01-01,83.25,-43.25,-0.0038071249281618,-0.117,32.595,0.0219059786073819,0.672
2001-01-01,83.25,-41.25,-0.0013905467449705,-0.132,10.538,0.0077997836762584,0.74
2001-01-01,83.25,-40.75,0.0002220140323432,0.482,0.461,0.0008384267969327,1.819
2001-01-01,83.25,-40.25,-0.0032584478849995,-0.129,25.303,0.0234091966977697,0.925
2001-01-01,83.25,-39.25,-0.0559757429306291,-0.491,114.099,0.0848804427287164,0.744
2001-01-01,83.25,-38.75,-0.0614581738900596,-0.647,95.054,0.072909957619421,0.766
2001-01-01,83.25,-38.25,-0.0634715147070654,-0.303,209.216,0.1386353903354022,0.662
2001-01-01,83.25,-37.75,-0.0355716597267054,-0.378,94.075,0.061413346133877,0.653
2001-01-01,83.25,-37.25,-0.3293352393156541,-1.113,295.893,0.3168995817334356,1.07
2001-01-01,83.25,-36.75,-0.046309532441367,-0.426,108.721,0.0927129383703579,0.852
2001-01-01,83.25,-36.25,-0.2708247275379127,-1.43,189.434,0.2157155822037718,1.136
2001-01-01,83.25,-35.75,-0.1389941010761631,-0.771,180.339,0.235494615589566,1.305
2001-01-01,83.25,-35.25,0.0080078305407145,0.138,57.932,0.1145609494316782,1.977
2001-01-01,83.25,-34.75,-0.1363930256085803,-1.054,129.458,0.1287257807805264,0.993
2001-01-01,83.25,-34.25,-0.1936312827516091,-1.034,187.331,0.2112670634844684,1.127
2001-01-01,83.25,-33.75,-0.0380931764399501,-0.435,87.507,0.0816922612078636,0.933
2001-01-01,83.25,-33.25,-0.0740510662588845,-0.675,109.752,0.1110857557558426,1.012
2001-01-01,83.25,-32.25,-0.0236150021078879,-0.828,28.528,0.0119311340027787,0.416
2001-01-01,83.25,-31.75,-0.1656106359653189,-0.838,197.59,0.2187040409235592,1.106
2001-01-01,83.25,-31.25,-0.0170209851439233,-0.528,32.211,0.0211462405181873,0.656
2001-01-01,83.25,-30.75,-0.0989988408416779,-0.742,133.406,0.1388493478588625,1.04
2001-01-01,83.25,-30.25,-0.0953923253739256,-0.614,155.258,0.1081153887277305,0.696
2001-01-01,83.25,-29.75,-0.0277730214411094,-0.657,42.275,0.0253102106697527,0.598
2001-01-01,83.25,-29.25,-0.0185947620152322,-0.501,37.083,0.0273242179408663,0.736
2001-01-01,83.25,-28.75,-0.1422787555504067,-0.834,170.62,0.1989848069081598,1.165
2001-01-01,83.25,-28.25,-0.0284134240353239,-0.433,65.585,0.0974373877880628,1.486
2001-01-01,83.25,-27.75,-0.0088930421751022,-0.114,77.826,0.0691388607281505,0.888
2001-01-01,83.25,-27.25,-0.0694160958768028,-0.861,80.594,0.0835612394572379,1.036
2001-01-01,83.25,-26.75,-0.0006533288661152,-0.049,13.412,0.00978613898302,0.73
2001-01-01,82.75,-82.25,-0.0050879469970834,-0.072,71.072,0.0300053298664928,0.422
2001-01-01,82.75,-81.75,-0.0162045851376407,-0.273,59.355,0.0130771577169561,0.22
2001-01-01,82.75,-81.25,-0.0008542884163298,-0.008,106.277,0.0338731908706035,0.319
2001-01-01,82.75,-80.75,-0.0068980758574628,-0.2,34.552,0.008937551078425,0.258
