time,lat,lon,glacier_mass_change_gt,glacier_mass_change_mwe,glacier_area_km2,uncertainty_gt,uncertainty_mwe
1991-01-01,83.75,-38.75,0.0004786113662428,0.117,4.107,0.0037046931304926,0.902
1991-01-01,83.75,-37.75,0.0004538071302953,0.171,2.661,0.0034869028219946,1.31
1991-01-01,83.75,-37.25,-0.0003505073297363,-0.027,12.863,0.0218410526147588,1.698
1991-01-01,83.75,-36.75,-0.001988822220629,-0.07,28.432,0.0304226825604925,1.07
1991-01-01,83.75,-35.25,-0.0147161242614713,-0.439,33.531,0.0365802406317128,1.091
1991-01-01,83.75,-34.25,-0.0016482658855431,-1.13,1.459,0.0016684421506434,1.142
1991-01-01,83.25,-77.25,0.0004297343626566,0.26,1.651,0.0010857254981867,0.657
1991-01-01,83.25,-76.75,0.0220103102308581,0.197,111.8,0.0645270268273011,0.577
1991-01-01,83.25,-74.75,-3.570972257931141e-05,-0.065,0.553,0.0002398144726587,0.434
1991-01-01,83.25,-74.25,-0.0075027047847805,-0.206,36.45,0.0225064211491452,0.617
1991-01-01,83.25,-73.75,-0.0008432400236262,-0.332,2.537,0.0016132351017445,0.636
1991-01-01,83.25,-73.25,0.0005345332959479,0.412,1.296,0.0006294767959417,0.485
1991-01-01,83.25,-72.75,0.0048056673704002,0.075,64.293,0.0311551952382893,0.485
1991-01-01,83.25,-72.25,0.0065475088289146,0.123,53.267,0.0211185758794638,0.396
1991-01-01,83.25,-71.75,0.003254830553946,0.149,21.871,0.0101877423646753,0.466
1991-01-01,83.25,-71.25,0.0017588444031056,1.239,1.42,0.0045580651162489,3.209
1991-01-01,83.25,-70.75,-0.0010286941452432,-0.014,71.366,0.0377864314606172,0.529
1991-01-01,83.25,-70.25,-0.0027594895487189,-0.064,43.013,0.0224422869381232,0.522
1991-01-01,83.25,-69.75,-0.0050146697223796,-0.269,18.613,0.0109721023894319,0.589
1991-01-01,83.25,-45.75,0.0001265964639566,0.016,7.679,0.0069382904083808,0.904
1991-01-01,83.25,-45.25,0.0281234755938269,0.44,63.879,0.0752524636801375,1.178
1991-01-01,83.25,-44.75,-0.0039502300317933,-0.295,13.407,0.0148342299335906,1.106
1991-01-01,83.25,-44.25,-0.0028943006072596,-0.229,12.666,0.0133014498785667,1.05
1991-01-01,83.25,-43.75,-0.0035009058535807,-0.096,36.297,0.0338781802999233,0.933
1991-01-01,83.25,-43.25,-0.0002733668146389,-0.008,35.268,0.0239804136225892,0.68
1991-01-01,83.25,-41.25,-0.0009700313119741,-0.085,11.402,0.0085284622192811,0.748
1991-01-01,83.25,-40.75,0.0002526425539879,0.506,0.499,0.0009120553033208,1.828
1991-01-01,83.25,-40.25,0.0009763168104432,0.036,27.378,0.0255134532418402,0.932
1991-01-01,83.25,-39.25,-0.0410311321094437,-0.332,123.455,0.0924981343934054,0.749
1991-01-01,83.25,-38.75,-0.0542440328826818,-0.527,102.848,0.079684909031114,0.774
1991-01-01,83.25,-38.25,-0.0390149014808538,-0.172,226.372,0.1520730894258769,0.672
1991-01-01,83.25,-37.75,-0.0244952196427926,-0.241,101.789,0.0671425737808062,0.66
1991-01-01,83.25,-37.25,-0.3029475253769361,-0.946,320.156,0.3464857604390993,1.081
1991-01-01,83.25,-36.75,-0.0333532988237763,-0.284,117.636,0.1016871725815444,0.864
1991-01-01,83.25,-36.25,-0.2542799151947389,-1.241,204.968,0.2344119567862089,1.142
1991-01-01,83.25,-35.75,-0.1552583091048845,-0.796,195.127,0.2573089643388473,1.318
1991-01-01,83.25,-35.25,0.0187508624955141,0.299,62.682,0.1246576849451176,1.989
1991-01-01,83.25,-34.75,-0.1284068665181186,-0.917,140.074,0.1410233384228652,1.006
1991-01-01,83.25,-34.25,-0.1732111489848595,-0.855,202.692,0.2308335467376343,1.138
1991-01-01,83.25,-33.75,-0.030060815379549,-0.317,94.683,0.0896585533573067,0.947
1991-01-01,83.25,-33.25,-0.0647710140165693,-0.545,118.752,0.1217992522607648,1.025
1991-01-01,83.25,-32.25,-0.0217817222488638,-0.706,30.867,0.0130516406546848,0.421
1991-01-01,83.25,-31.75,-0.1511224628219127,-0.707,213.792,0.2396326715715198,1.12
1991-01-01,83.25,-31.25,-0.0136947643004876,-0.393,34.852,0.023156201859966,0.664
1991-01-01,83.25,-30.75,-0.0914957339388163,-0.634,144.345,0.1521352018219092,1.053
1991-01-01,83.25,-30.25,-0.0802123442338668,-0.477,167.989,0.1184971765268693,0.705
1991-01-01,83.25,-29.75,-0.0241925833302778,-0.529,45.742,0.0277468167165799,0.606
1991-01-01,83.25,-29.25,-0.014973210399176,-0.373,40.124,0.0299546169614524,0.746
1991-01-01,83.25,-28.75,-0.1273929123410536,-0.69,184.611,0.2179598684230835,1.18
1991-01-01,83.25,-28.25,-0.0247518042721682,-0.349,70.963,0.1068636293880071,1.506
1991-01-01,83.25,-27.75,-0.0009642492106437,-0.011,84.208,0.0758921106929026,0.901
1991-01-01,83.25,-27.25,-0.06706037937209,-0.769,87.203,0.091451955233558,1.048
1991-01-01,83.25,-26.75,0.0010911052898953,0.075,14.512,0.0107184526932096,0.739
1991-01-01,82.75,-82.25,0.0009547505040957,0.013,71.57,0.0302145282713793,0.422
1991-01-01,82.75,-81.75,-0.0110025650886562,-0.184,59.771,0.0131550190461114,0.22
1991-01-01,82.75,-81.25,0.0096969179250172,0.091,107.021,0.0341137411698318,0.319
1991-01-01,82.75,-80.75,-0.0033279310473735,-0.096,34.794,0.0089949842182418,0.258
1991-01-01,82.75,-80.25,-0.0077882665490899,-0.09,86.436,0.0129176973025065,0.149
1991-01-01,82.75,-79.75,-0.006793670340366,-0.051,134.38,0.0258370038743706,0.192
1991-01-01,82.75,-79.25,0.0002202419602388,0.005,46.953,0.0073942187314168,0.157
1991-01-01,82.75,-78.75,-0.0032485070903317,-0.11,29.503,0.0068220964169857,0.231
1991-01-01,82.75,-78.25,-0.0007010579482406,-0.131,5.366,0.0010991539264998,0.205
1991-01-01,82.75,-77.75,0.0006248037170698,0.017,36.015,0.0060466512592188,0.168
1991-01-01,82.75,-77.25,0.0020057753016542,0.027,75.219,0.0142363009485,0.189
1991-01-01,82.75,-76.75,0.0060392043821466,0.092,65.395,0.0175375679800456,0.268
1991-01-01,82.75,-76.25,-0.0019926312867305,-0.024,81.517,0.0133805177501113,0.164
1991-01-01,82.75,-75.75,-0.0018828627573096,-0.115,16.355,0.0038870392269591,0.238
1991-01-01,82.75,-75.25,-0.0040614501536052,-0.067,60.753,0.0180833575094413,0.298
1991-01-01,82.75,-74.75,-0.0041267966563504,-0.15,27.465,0.0052989183744049,0.193
1991-01-01,82.75,-74.25,-0.0004509200935345,-0.002,261.055,0.0897842991816164,0.344
1991-01-01,82.75,-73.75,-0.0042431111866329,-0.049,85.767,0.0223996517731375,0.261
